Average Pleasure Trip Distance,Disposible Income,Popular Vote,Work Force Participation %,Median Temperature,Urban Population %,Sales Tax %,Median Income,Population,Median Cost of Advertising - CPC compared to US average
17.69481,48945,0.648,0.5723,63.7,0.577,0.0929,53913,5143030,0.78
11.64577,65943,0.547,0.6513,28.1,0.649,0.0182,77845,733536,0.43
17.91022,56293,0.522,0.6209,61.1,0.893,0.0838,69056,7497000,-0.05
9.720169,52282,0.642,0.5752,61.1,0.555,0.0945,52528,3089060,-0.32
13.06524,69140,0.381,0.6203,59.1,0.942,0.0885,84907,38889800,0
14.87108,70179,0.432,0.6839,46.3,0.86,0.0781,82254,5914180,0.03
10.75508,76114,0.419,0.6423,50,0.863,0.0635,83771,3625650,0.11
15.73851,58787,0.419,0.6088,56.3,0.826,0,71091,1044320,-0.45
12.19397,60972,0.561,0.596,71.5,0.915,0.07,63062,22975900,-0.01
13.77591,52880,0.507,0.6164,64.3,0.741,0.0738,66559,11145300,0.05
10.20043,58283,0.375,0.6019,70.2,0.861,0.045,84857,1430880,-0.22
8.551688,52972,0.669,0.6283,44,0.692,0.0603,66474,1990460,0.26
12.39378,63018,0.438,0.6423,52.7,0.869,0.0886,72205,12516900,-0.06
13.03495,54717,0.586,0.633,52.5,0.712,0.07,62743,6892120,0.14
13.98717,56552,0.56,0.6773,48.4,0.632,0.0694,65600,3214320,-0.2
10.29485,59102,0.572,0.6656,55.1,0.723,0.0865,64124,2944380,-0.02
14.73813,49744,0.646,0.5714,56.4,0.587,0.06,55573,4540740,-0.28
10.65422,53626,0.602,0.5863,67.2,0.715,0.0956,52087,4559480,0.34
12.3563,58110,0.454,0.5917,41.9,0.386,0.055,64767,1402110,0.48
15.32584,64681,0.348,0.651,55.5,0.856,0.06,90203,6196520,-0.02
11.39816,76107,0.365,0.6505,48.9,0.913,0.0625,89645,7020060,-0.08
13.29352,54612,0.497,0.6194,45.3,0.735,0.06,63498,10041200,-0.04
19.35718,63250,0.469,0.6837,41.8,0.719,0.0804,77720,5761530,-0.37
13.51206,45805,0.616,0.5398,64.3,0.463,0.0706,48716,2940450,0.15
11.85049,55935,0.585,0.6307,55.3,0.695,0.0839,61847,6215140,0.21
13.93778,57099,0.584,0.631,42.6,0.534,0,63249,1142750,-0.01
10.55032,64211,0.596,0.6908,49.5,0.73,0.0697,66817,1988700,-0.45
9.318304,58565,0.506,0.6272,51.1,0.941,0.0824,66274,3210930,-0.27
12.39746,69821,0.481,0.6506,44.2,0.583,0,88465,1405100,-0.28
15.43735,71166,0.461,0.6493,53.6,0.938,0.066,89296,9320860,-0.11
12.80131,49969,0.459,0.5724,54.5,0.745,0.0762,53992,2115270,-0.25
11.13649,68435,0.441,0.6115,46.1,0.874,0.0853,74314,19469200,-0.23
13.30077,54995,0.51,0.6102,59.6,0.667,0.07,61972,10975000,0.09
11.87729,65240,0.308,0.692,41.1,0.61,0.0704,66519,788940,0.24
10.64753,54915,0.552,0.6184,51.8,0.763,0.0724,62262,11812200,0.21
16.41715,55465,0.662,0.6293,60.4,0.646,0.0899,55826,4088380,0.08
11.20272,58633,0.414,0.6236,48,0.805,0,71562,4227340,0
11.93343,60812,0.504,0.6219,49.6,0.765,0.0634,68957,12951300,0.06
9.602871,59820,0.421,0.6359,50.8,0.911,0.07,74008,1098080,-0.42
14.06681,51274,0.582,0.5738,63.4,0.679,0.075,59318,5464160,-0.01
16.96863,66607,0.634,0.6821,45.8,0.572,0.0611,66143,928767,-0.65
15.61725,56938,0.642,0.5983,58.5,0.662,0.0955,59695,7204000,-0.08
13.90337,60147,0.563,0.6449,65.8,0.837,0.082,66963,30976800,0.19
11.00853,56039,0.594,0.695,49.3,0.898,0.0725,79449,3454230,-0.28
11.12162,59456,0.326,0.6468,43.2,0.351,0.0636,72431,647818,0.03
14.93492,64506,0.466,0.6637,56.1,0.756,0.0577,80963,8752300,-0.05
14.76082,71225,0.392,0.6433,47.4,0.834,0.0938,84247,7841280,0.27
9.204881,48076,0.7,0.5491,52.7,0.446,0.0657,51248,1766110,0.6
13.55521,57829,0.497,0.6583,44,0.671,0.057,67125,5931370,0
14.72875,72699,0.723,0.6393,42.3,0.62,0.0544,65204,586485,-0.38
